Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
08/10/2024 23:00:00,08/10/2024,"Temperature, Forecast, D",12.5273,09/10/2024 08:30:00,
07/10/2024 23:00:00,07/10/2024,"Temperature, Forecast, D",12.7322,08/10/2024 08:30:00,
06/10/2024 23:00:00,06/10/2024,"Temperature, Forecast, D",11.6641,07/10/2024 08:30:00,
05/10/2024 23:00:00,05/10/2024,"Temperature, Forecast, D",11.7553,06/10/2024 08:30:00,
04/10/2024 23:00:00,04/10/2024,"Temperature, Forecast, D",11.3863,05/10/2024 08:30:00,
03/10/2024 23:00:00,03/10/2024,"Temperature, Forecast, D",11.5246,04/10/2024 08:30:00,
02/10/2024 23:00:00,02/10/2024,"Temperature, Forecast, D",11.8511,03/10/2024 08:30:00,
01/10/2024 23:00:00,01/10/2024,"Temperature, Forecast, D",11.4063,02/10/2024 08:30:00,
30/09/2024 23:00:00,30/09/2024,"Temperature, Forecast, D",11.3685,01/10/2024 08:30:00,
29/09/2024 23:00:00,29/09/2024,"Temperature, Forecast, D",10.6465,30/09/2024 08:30:00,
28/09/2024 23:00:00,28/09/2024,"Temperature, Forecast, D",11.0548,29/09/2024 08:30:00,
27/09/2024 23:00:00,27/09/2024,"Temperature, Forecast, D",11.2892,28/09/2024 08:30:00,
26/09/2024 23:00:00,26/09/2024,"Temperature, Forecast, D",12.4823,27/09/2024 08:30:00,
25/09/2024 23:00:00,25/09/2024,"Temperature, Forecast, D",12.7424,26/09/2024 08:30:00,
24/09/2024 23:00:00,24/09/2024,"Temperature, Forecast, D",13.3089,25/09/2024 08:30:00,
23/09/2024 23:00:00,23/09/2024,"Temperature, Forecast, D",13.644,24/09/2024 08:30:00,
22/09/2024 23:00:00,22/09/2024,"Temperature, Forecast, D",14.0412,23/09/2024 08:30:00,
21/09/2024 23:00:00,21/09/2024,"Temperature, Forecast, D",14.4277,22/09/2024 08:30:00,
20/09/2024 23:00:00,20/09/2024,"Temperature, Forecast, D",14.3086,21/09/2024 08:30:00,
19/09/2024 23:00:00,19/09/2024,"Temperature, Forecast, D",14.3903,20/09/2024 08:30:00,
18/09/2024 23:00:00,18/09/2024,"Temperature, Forecast, D",14.264,19/09/2024 08:30:00,
17/09/2024 23:00:00,17/09/2024,"Temperature, Forecast, D",13.9899,18/09/2024 08:30:00,
16/09/2024 23:00:00,16/09/2024,"Temperature, Forecast, D",13.8335,17/09/2024 08:30:00,
15/09/2024 23:00:00,15/09/2024,"Temperature, Forecast, D",13.469,16/09/2024 08:30:00,
14/09/2024 23:00:00,14/09/2024,"Temperature, Forecast, D",13.1636,15/09/2024 08:30:00,
13/09/2024 23:00:00,13/09/2024,"Temperature, Forecast, D",11.9637,14/09/2024 08:30:00,
12/09/2024 23:00:00,12/09/2024,"Temperature, Forecast, D",11.8461,13/09/2024 08:30:00,
11/09/2024 23:00:00,11/09/2024,"Temperature, Forecast, D",12.6266,12/09/2024 08:30:00,
10/09/2024 23:00:00,10/09/2024,"Temperature, Forecast, D",13.6802,11/09/2024 08:30:00,
09/09/2024 23:00:00,09/09/2024,"Temperature, Forecast, D",14.135,10/09/2024 08:30:00,
08/09/2024 23:00:00,08/09/2024,"Temperature, Forecast, D",14.6675,09/09/2024 08:30:00,
07/09/2024 23:00:00,07/09/2024,"Temperature, Forecast, D",14.7252,08/09/2024 08:30:00,
06/09/2024 23:00:00,06/09/2024,"Temperature, Forecast, D",14.7068,07/09/2024 08:30:00,
05/09/2024 23:00:00,05/09/2024,"Temperature, Forecast, D",14.2805,06/09/2024 08:30:00,
04/09/2024 23:00:00,04/09/2024,"Temperature, Forecast, D",14.3662,05/09/2024 08:30:00,
03/09/2024 23:00:00,03/09/2024,"Temperature, Forecast, D",14.7502,04/09/2024 08:30:00,
02/09/2024 23:00:00,02/09/2024,"Temperature, Forecast, D",14.9244,03/09/2024 08:30:00,
01/09/2024 23:00:00,01/09/2024,"Temperature, Forecast, D",14.8821,02/09/2024 08:30:00,
31/08/2024 23:00:00,31/08/2024,"Temperature, Forecast, D",14.6129,01/09/2024 08:30:00,
30/08/2024 23:00:00,30/08/2024,"Temperature, Forecast, D",14.7427,31/08/2024 08:30:00,
29/08/2024 23:00:00,29/08/2024,"Temperature, Forecast, D",14.8184,30/08/2024 08:30:00,
28/08/2024 23:00:00,28/08/2024,"Temperature, Forecast, D",15.0162,29/08/2024 08:30:00,
27/08/2024 23:00:00,27/08/2024,"Temperature, Forecast, D",14.8962,28/08/2024 08:30:00,
26/08/2024 23:00:00,26/08/2024,"Temperature, Forecast, D",14.6281,27/08/2024 08:30:00,
25/08/2024 23:00:00,25/08/2024,"Temperature, Forecast, D",14.1937,26/08/2024 08:30:00,
24/08/2024 23:00:00,24/08/2024,"Temperature, Forecast, D",14.3041,25/08/2024 08:30:00,
23/08/2024 23:00:00,23/08/2024,"Temperature, Forecast, D",14.7443,24/08/2024 08:30:00,
22/08/2024 23:00:00,22/08/2024,"Temperature, Forecast, D",14.6628,23/08/2024 08:30:00,
21/08/2024 23:00:00,21/08/2024,"Temperature, Forecast, D",14.5763,22/08/2024 08:30:00,
20/08/2024 23:00:00,20/08/2024,"Temperature, Forecast, D",14.7512,21/08/2024 08:30:00,
19/08/2024 23:00:00,19/08/2024,"Temperature, Forecast, D",14.6486,20/08/2024 08:30:00,
